objectid,SE,Nome,Latitude,Longitude,Altitude,shape
1,BGI,Subestação Bongí,-8.063214,-34.926816,9.499,
2,GNN,Subestação Goianinha,-7.586133,-35.088349,138.074,
3,JRM,Subestação Joairam,-8.080508,-34.980952,40.741,
4,MRR,Subestação Mirueira,-7.954978,-34.892059,57.805,
5,PFE,Subestação Pau Ferro,-7.860115,-35.019562,126.779,
6,PRD,Subestação Pirapama Dois,-8.272961,-35.0256,25.841,
7,RCD,Subestação Recife Dois,-8.112352,-35.038896,57.084,
8,RIB,Subestação Ribeirão,-8.47096,-35.39949,0,
9,AGD,Subestação Angelim Dois,-8.896914,-36.297035,705.248,
10,AGL,Subestação Angelim,-8.891289,-36.294246,680.253,
11,TAC,Subestação Tacaimbó,-8.330111,-36.223015,601.666,
12,ITP,Subestação Itaparica,-9.15229,-38.297289,286.356,
13,LGZ,Subestação Luiz Gonzaga,-9.144077,-38.303864,277.464,
14,ULG,Usina Luiz Gonzaga,-9.142537,-38.308455,263.765,
15,BNO,Subestação Bom Nome,-7.996275,-38.626286,470.688,
