id,cod_ltransm_exp,Nome_ltransm_exp,Tensao_ltransm_exp,Ano_ltransm_exp,Situacao_ltransm_exp,Comp_ltransm_exp,paths_ltransm_exp
3850,3850,"LT 500 kV Garanhuns II - Messias, C1",500,2025,,97.00989734,"[[[-36.460837356999946, -8.850823823999974], [-36.45561918399994, -8.852808851999953], [-36.445378913999946, -8.859368292999932], [-36.435287391999964, -8.868897640999933], [-36.42951752999994, -8.874618685999963], [-36.42667162799995, -8.879040396999926], [-36.399560237999935, -8.921394311999961], [-36.34845954899998, -8.985103052999932], [-36.30808745799993, -9.076661946999934], [-36.23754128699994, -9.18114835199998], [-36.18875054499995, -9.228457573999947], [-36.13274611099996, -9.281279823999967], [-36.07829205599995, -9.30246117799993], [-35.84927954199998, -9.401563837999959], [-35.84407402199997, -9.40245972899993]]]"
3852,3852,"SECC LT 230 kV Pau Ferro - Coteminas, C1, na SE Lagoa do Carro",230,2021,,11.71993532,"[[[-35.36030314499993, -7.865973510999936], [-35.351834150999935, -7.845758389999958], [-35.33672449499994, -7.8114666589999615], [-35.32577605899996, -7.787470086999974], [-35.317377258999954, -7.77397201499997]]]"
3853,3853,"SECC LT 230 kV Pau Ferro - Coteminas, C1, na SE Lagoa do Carro",230,2021,,11.71993532,"[[[-35.36030314499993, -7.865973510999936], [-35.351834150999935, -7.845758389999958], [-35.33672449499994, -7.8114666589999615], [-35.32577605899996, -7.787470086999974], [-35.317377258999954, -7.77397201499997]]]"
3881,3881,"SECC LT 230 kV Mirueira - Goianinha, C1, na SE Pau Ferro",230,2018,,7.47652386,"[[[-34.95851910799996, -7.85552506099998], [-34.95927840599995, -7.8559163949999515], [-34.962451416999954, -7.855166864999944], [-34.98491797099996, -7.845817565999937], [-35.01483215799993, -7.854211907999968], [-35.01828029799998, -7.855545182999947], [-35.019327260999944, -7.8580459969999765], [-35.01997566399996, -7.859158394999952]]]"
3882,3882,"SECC LT 230 kV Mirueira - Goianinha, C1, na SE Pau Ferro",230,2018,,7.49060571,"[[[-34.95850858699998, -7.855385799999965], [-34.95929088199995, -7.855789672999947], [-34.96246746299994, -7.855061557999932], [-34.984923815999935, -7.845736544999966], [-35.01491977799998, -7.854123668999932], [-35.01838784199998, -7.855462115999956], [-35.01946930699995, -7.858022415999926], [-35.02006179299997, -7.859114588999944]]]"
4041,4041,"LT 230 kV Arcoverde II - Caetés II, C1",230,2021,,49.16408769,"[[[-36.75911176799997, -8.843929844999934], [-36.758749644999966, -8.844171605999975], [-36.75746634899997, -8.844063482999957], [-36.75703887099996, -8.843185652999978], [-36.75794092499996, -8.831174049999959], [-36.76212189199998, -8.81856695099998], [-36.76633362899997, -8.806978277999974], [-36.86538343799998, -8.638593266999976], [-36.882764177999945, -8.61352377299994], [-36.88913421099994, -8.608871143999977], [-36.89879814699998, -8.600399315999937], [-36.93590417099995, -8.56938430599996], [-36.986553915999934, -8.528398569999979], [-37.00366940199996, -8.501018773999931]]]"
4042,4042,"LT 230 kV Garanhuns II - Arcoverde II, C1",230,2021,,81.90270056,"[[[-36.404372697999975, -8.884496210999941], [-36.404409716999965, -8.885213721999946], [-36.40544430899996, -8.886545852999973], [-36.40826424399995, -8.886211627999955], [-36.41580031899997, -8.87625339699997], [-36.41692464099998, -8.870350234999933], [-36.42123659099997, -8.86472880399998], [-36.43812644899998, -8.849880306999978], [-36.45374872399998, -8.834426228999973], [-36.46609895199998, -8.82919058899995], [-36.49436283199998, -8.801701154999932], [-36.516740063999976, -8.794683546999977], [-36.585467146999974, -8.753955175999977], [-36.61695730399998, -8.724384293999947], [-36.68758680399998, -8.687365588999967], [-36.78734090499995, -8.66568422599994], [-36.835096214999965, -8.642942845999926], [-36.877509531999976, -8.620481095999935], [-36.88249488599996, -8.61328371299993], [-36.88889846799998, -8.608593363999944], [-36.898569615999975, -8.600147490999973], [-36.935673924999946, -8.569113357999981], [-36.986290321999945, -8.528153594999935], [-37.00322943899994, -8.501038427999958]]]"
4132,4132,"LT 500 kV Campina Grande III - Pau Ferro, C1",500,2022,,132.531878,"[[[-35.022147005999955, -7.854513216999976], [-35.02521175099997, -7.852286040999957], [-35.02294015899997, -7.832036827999957], [-35.029245730999946, -7.822994875999939], [-35.047937883999964, -7.796165461999976], [-35.06364232699997, -7.78521994099998], [-35.066170503999956, -7.783018939999977], [-35.068490478999934, -7.778170787999954], [-35.11880999099998, -7.7620069309999735], [-35.13057404699998, -7.758218828999929], [-35.16478308199993, -7.743989651999925], [-35.17386310499995, -7.739801800999942], [-35.22469592699997, -7.71652551699998], [-35.27244219099998, -7.712290075999931], [-35.27632547199994, -7.711604791999946], [-35.27714400599996, -7.711262148999936], [-35.28041814499994, -7.709986757999957], [-35.28848927599995, -7.708844616999954], [-35.29277230599996, -7.707740546999958], [-35.30789853999994, -7.703900889999943], [-35.331336230999966, -7.700712411999973], [-35.368665214999965, -7.693766765999953], [-35.43119744999996, -7.6822501739999325], [-35.45064954399993, -7.676325315999975], [-35.45314797799995, -7.675540093999928], [-35.46539030499997, -7.6718281349999415], [-35.47284991499998, -7.669543851999947], [-35.51049597699995, -7.6548370609999665], [-35.51841958199998, -7.652600366999934], [-35.52660492799998, -7.649221532999945], [-35.52877023699995, -7.6482697479999615], [-35.53150661799998, -7.647175195999978], [-35.55681218899997, -7.6201669659999425], [-35.56160085399995, -7.61528906999996], [-35.57614530899997, -7.600685128999942], [-35.59159705299993, -7.590147209999941], [-35.600472442999944, -7.582104630999936], [-35.650529639999945, -7.53693199199995], [-35.68208129299995, -7.507569442999966], [-35.70992776399993, -7.484136077999949], [-35.72734541899996, -7.469050295999978], [-35.74730624099993, -7.451566967999952], [-35.76118325799996, -7.439460269999927], [-35.78117072999993, -7.423470291999934], [-35.79330258099998, -7.41155910699996], [-35.83861557399996, -7.3719254659999365], [-35.86069697199997, -7.352604242999973], [-35.903407845999936, -7.325918587999979], [-35.935017795999954, -7.285900811999966], [-35.94206694899998, -7.276888603999964], [-35.95396425399997, -7.269898936999937], [-35.96956756999998, -7.267117743999961], [-35.98077958999994, -7.256286436999972], [-35.98089380399995, -7.25558211699996]]]"
4185,4185,"LT 230 kV FIAT - Pau Ferro, C1 e C2 (CD)",230,2019,Planejada,35.14,"[[[-35.02053249699998, -7.858422452999946], [-35.013732965999964, -7.8407725839999785], [-35.02032695099996, -7.831243899999947], [-35.01955768899995, -7.821149014999946], [-35.00246305899998, -7.808080139999959], [-34.98847885599997, -7.796846880999965], [-34.98358143899998, -7.792417309999962], [-34.96466919399995, -7.783762711999941], [-34.95671217399996, -7.776212156999975], [-34.94777487299996, -7.775871455999948], [-34.938061224999956, -7.768976774999942], [-34.94423971799995, -7.7499545029999695], [-34.96128329299995, -7.735373992999939], [-34.96216234999997, -7.724621119999938], [-34.96001661399998, -7.69752508199997], [-34.95347996499993, -7.690825404999941], [-34.94528752799994, -7.670269830999928], [-34.941078482999956, -7.64747325999997], [-34.94009074599995, -7.6364352919999305], [-34.94231078699994, -7.631508615999962], [-34.95565525099994, -7.628002884999944], [-34.95860688099998, -7.628752688999953]]]"
4186,4186,"LT 230 kV FIAT - Pau Ferro, C1 e C2 (CD)",230,2019,Planejada,35.14,"[[[-35.020617124999944, -7.858390033999967], [-35.013834739999936, -7.8407846809999455], [-35.02041977199997, -7.831268929999965], [-35.01964500699995, -7.821101859999942], [-35.002519072999974, -7.808009054999957], [-34.98853778499995, -7.796778136999933], [-34.98363196399998, -7.792340964999937], [-34.964720728999964, -7.783686829999965], [-34.95674984899995, -7.776123122999934], [-34.94780537999998, -7.7757821489999515], [-34.93816794299994, -7.768941562999942], [-34.94431808499996, -7.750006564999978], [-34.961370597999974, -7.735418403999972], [-34.96225327399998, -7.724621233999926], [-34.96010438199994, -7.6974854209999535], [-34.95355750599998, -7.690775260999942], [-34.94537503399994, -7.670244700999945], [-34.94116836599994, -7.647461025999974], [-34.940183108999975, -7.636450800999967], [-34.94237569399996, -7.631585052999981], [-34.955655632999935, -7.628096270999947], [-34.958584523999946, -7.628840297999943]]]"
